Model name,Wins,Points
ga_generation_34_nn_12.keras, 2, 356
ga_generation_34_nn_14.keras, 2, 325
ga_generation_35_nn_8.keras, 1, 324
ga_generation_34_nn_13.keras, 0, 311
ga_generation_35_nn_12.keras, 2, 326
ga_generation_35_nn_16.keras, 1, 273
ga_generation_35_nn_14.keras, 2, 406
ga_generation_33_nn_10.keras, 1, 322
ga_generation_35_nn_10.keras, 0, 326
ga_generation_35_nn_9.keras, 2, 292
ga_generation_35_nn_11.keras, 3, 355
ga_generation_35_nn_15.keras, 0, 219
ga_generation_36_nn_10.keras, 1, 373
ga_generation_36_nn_8.keras, 2, 322
ga_generation_35_nn_11.keras, 1, 326
ga_generation_36_nn_13.keras, 0, 238
ga_generation_36_nn_11.keras, 2, 359
ga_generation_36_nn_9.keras, 1, 283
ga_generation_36_nn_14.keras, 1, 323
ga_generation_35_nn_7.keras, 0, 213
ga_generation_34_nn_9.keras, 2, 391
ga_generation_36_nn_12.keras, 0, 248
ga_generation_36_nn_7.keras, 0, 291
ga_generation_34_nn_12.keras, 2, 388
ga_generation_35_nn_13.keras, 0, 289
ga_generation_35_nn_14.keras, 1, 290
ga_generation_36_nn_16.keras, 1, 340
ga_generation_36_nn_15.keras, 1, 262
ga_generation_37_nn_10.keras, 1, 281
ga_generation_37_nn_8.keras, 1, 351
ga_generation_36_nn_10.keras, 0, 352
ga_generation_37_nn_14.keras, 2, 285
ga_generation_37_nn_13.keras, 2, 331
ga_generation_34_nn_12.keras, 2, 329
ga_generation_37_nn_9.keras, 0, 289
ga_generation_36_nn_8.keras, 1, 303
ga_generation_37_nn_12.keras, 1, 353
ga_generation_34_nn_9.keras, 1, 302
ga_generation_37_nn_11.keras, 3, 384
ga_generation_37_nn_7.keras, 0, 277
ga_generation_37_nn_16.keras, 0, 219
ga_generation_37_nn_15.keras, 1, 301
ga_generation_36_nn_16.keras, 1, 287
ga_generation_36_nn_11.keras, 1, 380
ga_generation_36_nn_11.keras, 1, 348
ga_generation_38_nn_13.keras, 2, 344
ga_generation_37_nn_13.keras, 1, 282
ga_generation_37_nn_14.keras, 0, 222
ga_generation_38_nn_12.keras, 2, 344
ga_generation_38_nn_15.keras, 1, 334
ga_generation_38_nn_8.keras, 2, 353
ga_generation_38_nn_10.keras, 0, 281
ga_generation_38_nn_14.keras, 2, 391
ga_generation_38_nn_11.keras, 1, 380
ga_generation_38_nn_7.keras, 0, 296
ga_generation_37_nn_12.keras, 3, 357
ga_generation_37_nn_11.keras, 0, 288
ga_generation_38_nn_16.keras, 0, 273
ga_generation_38_nn_9.keras, 0, 278
ga_generation_34_nn_12.keras, 1, 311
ga_generation_39_nn_9.keras, 1, 294
ga_generation_38_nn_11.keras, 2, 350
ga_generation_38_nn_13.keras, 0, 320
ga_generation_39_nn_14.keras, 1, 363
ga_generation_37_nn_12.keras, 1, 334
ga_generation_38_nn_12.keras, 2, 386
ga_generation_39_nn_8.keras, 1, 332
ga_generation_39_nn_12.keras, 3, 359
ga_generation_39_nn_13.keras, 0, 286
